X,Y,DN,C_2019,Class,C_Class,Zone,C_Zone,Region,C_Region,Departemen,Commune,UH,Area,Point,Point_cont,x,y,Xd,Yd,icon_url
9.336886,14.070348,"3333","3",NNN,"14",Sahelienne,"1",Zinder,"4",Damagaram Takaya,Damagaram Takaya,"413",3072305.369890000205487,"1","107","536370","155553",9.336886000000000,14.070347999999999,./0.png
8.657199,14.019089,"3333","3",NNN,"14",Sahelienne,"1",Zinder,"4",Takeita,Tirmini,"413",2991953.277799999807030,"2","108","462984","154986",8.657199000000000,14.019088999999999,./0.png
9.585882,13.907442,"4444","4",NNN,"14",Sahelienne,"1",Zinder,"4",Damagaram Takaya,Damagaram Takaya,"414",1043332277.120000123977661,"1","109","563296","153756",9.585882000000000,13.907442000000000,./0.png
10.497895,13.590519,"4444","4",NNN,"14",Sahelienne,"1",Zinder,"4",Goure,Boune,"414",343363534.990999996662140,"2","110","662058","150293",10.497895000000000,13.590519000000000,./0.png
10.099545,13.702203,"4445","5",NNR,"15",Sahelienne,"1",Zinder,"4",Goure,Goure,"415",148036671.777999997138977,"1","111","618899","151506",10.099545000000001,13.702203000000001,./0.png
9.293482,13.849734,"4455","5",NRN,"17",Sahelienne,"1",Zinder,"4",Mirriah,Zermou,"415",96638856.504299998283386,"2","112","531714","153112",9.293481999999999,13.849734000000000,./0.png
9.318902,13.593286,"4446","6",NNR,"15",Sahelienne,"1",Zinder,"4",Mirriah,Mirriah,"416",22188499.786600001156330,"1","113","534498","150276",9.318902000000000,13.593286000000001,./0.png
9.264865,13.55461,"5456","6",DRR,"9",Sahelienne,"1",Zinder,"4",Magaria,Wacha,"416",14600232.369000000879169,"2","114","528657","149848",9.264865000000000,13.554610000000000,./0.png
9.719393,13.483302,"7677","7",DRN,"8",Sahelienne,"1",Zinder,"4",Goure,Guidiguir,"417",2091013.926459999987856,"1","115","577860","149069",9.719393000000000,13.483302000000000,./0.png
9.522483,13.694046,"7777","7",NNN,"14",Sahelienne,"1",Zinder,"4",Damagaram Takaya,Guidimouni,"417",1323067.708959999959916,"2","116","556498","151395",9.522482999999999,13.694046000000000,./0.png
8.721939,14.8119,"4321","1",DDD,"1",Sahelo_Saharienne,"2",Zinder,"4",Tanout,Tanout,"421",138591.115602000005310,"1","117","470080","163754",8.721939000000003,14.811900000000000,./0.png
9.736605,14.102478,"7521","1",DDD,"1",Sahelo_Saharienne,"2",Zinder,"4",Damagaram Takaya,Moa,"421",69520.912775699995109,"2","118","579513","155918",9.736605000000001,14.102478000000000,./0.png
9.944783,14.40169,"2232","2",NRD,"16",Sahelo_Saharienne,"2",Zinder,"4",Goure,Kelle,"422",1465819.241099999984726,"1","119","601852","159236",9.944782999999999,14.401690000000000,./0.png
9.934779,14.412549,"2232","2",NRD,"16",Sahelo_Saharienne,"2",Zinder,"4",Goure,Kelle,"422",442735.141477000026498,"2","120","600769","159355",9.934779000000001,14.412549000000000,./0.png
8.684683,14.901433,"3333","3",NNN,"14",Sahelo_Saharienne,"2",Zinder,"4",Tanout,Tanout,"423",17796709.339499998837709,"1","121","466085","164744",8.684683000000000,14.901433000000001,./0.png
7.453282,15.221345,"3343","3",NRD,"16",Sahelo_Saharienne,"2",Zinder,"4",Belbedji,Tarka,"423",15704308.772099999710917,"2","122","333871","168339",7.453282000000000,15.221344999999999,./0.png
10.682221,13.833292,"4444","4",NNN,"14",Sahelo_Saharienne,"2",Zinder,"4",Goure,Goure,"424",952903688.258000016212463,"1","123","681818","152992",10.682221000000000,13.833292000000000,./0.png
10.498985,14.209131,"4344","4",DRN,"8",Sahelo_Saharienne,"2",Zinder,"4",Goure,Kelle,"424",437243005.750000000000000,"2","124","661745","157137",10.498984999999999,14.209130999999999,./0.png
10.234577,13.978475,"4445","5",NNR,"15",Sahelo_Saharienne,"2",Zinder,"4",Goure,Goure,"425",66089967.976899996399879,"1","125","633345","154569",10.234577000000000,13.978475000000000,./0.png
10.891204,14.165216,"4445","5",NNR,"15",Sahelo_Saharienne,"2",Zinder,"4",Goure,Kelle,"425",21183175.316399998962879,"2","126","704119","156682",10.891204000000000,14.165215999999999,./0.png
9.67461,14.167815,"4446","6",NNR,"15",Sahelo_Saharienne,"2",Zinder,"4",Damagaram Takaya,Moa,"426",903496.279481000034139,"1","127","572800","156639",9.674609999999999,14.167814999999999,./0.png
9.698266,14.141354,"5556","6",NNR,"15",Sahelo_Saharienne,"2",Zinder,"4",Damagaram Takaya,Moa,"426",625574.066589000052772,"2","128","575362","156347",9.698266000000000,14.141354000000000,./0.png
9.500126,14.122989,"6667","7",NNR,"15",Sahelo_Saharienne,"2",Zinder,"4",Damagaram Takaya,Damagaram Takaya,"427",486559.246295000019018,"1","129","553981","156138",9.500126000000000,14.122989000000000,./0.png
8.690053,15.003906,"4677","7",RRN,"26",Sahelo_Saharienne,"2",Zinder,"4",Tanout,Tanout,"427",484650.885675000026822,"2","130","466679","165878",8.690053000000002,15.003906000000001,./0.png
9.4615,13.377015,"4444","4",NNN,"14",Soudano_Sahelienne,"4",Zinder,"4",Magaria,Wacha,"444",26177409.448699995875359,"1","131","549970","147887",9.461499999999999,13.377015000000000,./0.png
8.520587,13.629718,"4444","4",NNN,"14",Soudano_Sahelienne,"4",Zinder,"4",Kantche,Ichirnawa,"444",11905647.300500001758337,"2","132","448145","150682",8.520587000000003,13.629718000000000,./0.png
9.380586,12.946033,"5555","5",NNN,"14",Soudano_Sahelienne,"4",Zinder,"4",Dungass,Dogo-Dogo,"445",549806746.445000052452087,"1","133","541280","143119",9.380585999999999,12.946033000000000,./0.png
